protein_accessions	count	number_accessions_group
['GCA_157979', 'GCA_157978']	2	2
['GCA_97268']	2	1
['GCA_173235']	2	1
['GCA_104542']	2	1
['GCA_280686']	2	1
['GCA_105889']	2	1
['GCA_90446']	2	1
['GCA_303072']	2	1
['GCA_149874']	2	1
['GCA_306616']	2	1
['GCA_23903']	2	1
['GCA_175473']	2	1
['GCA_251506']	2	1
['GCA_119756']	2	1
['GCA_263091']	2	1
['GCA_88144']	2	1
['GCA_1291']	2	1
['GCA_184567']	2	1
['GCA_125182']	2	1
['GCA_315411']	2	1
['GCA_187443']	2	1
['GCA_294536']	2	1
['GCA_36706']	2	1
['GCA_155367', 'GCA_155366']	2	2
['GCA_69689']	2	1
['GCA_188371']	2	1
['GCA_123260']	2	1
['GCA_68850']	2	1
['GCA_197510']	2	1
['GCA_289912', 'GCA_14806']	2	2
['GCA_46877']	2	1
['GCA_3800', 'GCA_248397']	2	2
['GCA_301262']	2	1
['GCA_294233']	2	1
['GCA_147967']	2	1
['GCA_128701']	2	1
['GCA_120942']	2	1
['GCA_81005']	2	1
['GCA_164504']	2	1
['GCA_239509']	2	1
['GCA_165466']	2	1
['GCA_146635']	2	1
['GCA_94850', 'GCA_297628', 'GCA_232033']	2	3
['GCA_290508']	2	1
['GCA_291624', 'GCA_100546']	2	2
['GCA_222057']	2	1
['GCA_228136']	2	1
['GCA_247520']	2	1
['GCA_245210']	2	1
['GCA_216088']	2	1
['GCA_306255']	2	1
['GCA_86991']	2	1
['GCA_108925']	2	1
['GCA_170231']	2	1
['GCA_314683']	2	1
['GCA_208862', 'GCA_208861']	2	2
['GCA_3619', 'GCA_135944']	2	2
['GCA_220380']	2	1
['GCA_241417']	2	1
['GCA_212212']	2	1
['GCA_175155']	2	1
['GCA_249832']	2	1
['GCA_312391']	2	1
['GCA_244114']	2	1
['GCA_104456']	2	1
['GCA_145157']	2	1
['GCA_134793', 'GCA_134790']	2	2
['GCA_171918']	2	1
['GCA_233431']	2	1
['GCA_115063']	2	1
['GCA_116789']	2	1
['GCA_278153']	2	1
['GCA_112526']	2	1
['GCA_96369']	2	1
['GCA_168466']	2	1
['GCA_194823']	2	1
['GCA_142557']	2	1
['GCA_94501']	2	1
['GCA_272145']	2	1
['GCA_153703']	2	1
['GCA_130835']	2	1
